,smiles
147,CCCCC(CC)Cc1c2cc(-c3ccc(/C=C/c4ccc(-c5ccccc5)s4)s3)sc2c(CC(CC)CCCC)c2cc(-c3ccccc3)sc12
148,CCCCC(CC)Cc1cc(-c2nnc(-c3cc(CC(CC)CCCC)c(-c4cc5c(s4)-c4sc(C)cc4C5(CC(C)CC)CC(CC)CCCC)s3)nn2)sc1C
149,CCCCC(CC)Cc1cc(C)sc1-c1nc2sc(-c3sc(-c4cc5c(s4)-c4sc(C)cc4C5(C(CC)CCCC)C(CC)CCCC)cc3CC(CC)CCCC)nc2s1
150,CCCCC(CC)Cn1c2c3sc(/C=C4\C(=O)c5cc(F)ccc5C4=C(C#N)C#N)c(C)c3sc2c2c3nsnc3c3c4sc5c(C)c(/C=C6/C(=O)c7cc(F)ccc7C6=C(C#N)C#N)sc5c4n(CC(CC)CCCC)c3c21
151,CCCCC(CC)Cn1c2c3sc(/C=C4\C(=O)c5ccc(F)cc5C4=C(C#N)C#N)c(C)c3sc2c2c3nsnc3c3c4sc5c(C)c(/C=C6/C(=O)c7ccc(F)cc7C6=C(C#N)C#N)sc5c4n(CC(CC)CCCC)c3c21
152,CCCCC1=C(N)C(=O)C2=C(N)C(=O)C(CCC)N12
153,CCCCCCC(CCCC)CN1C(=O)C2=C(c3ccc(-c4cc5c(s4)c4sc(C)cc4c4oc(-c6ccccc6)c(-c6ccccc6)c54)o3)N(CC(CCCC)CCCCCC)C(=O)C2=C1c1ccc(C)o1
154,CCCCCCC(CCCN1C(=O)C2=C(c3ccc(S)s3)N(CCOCCOCCOCCCO)C(=O)C2=C1c1ccc(-c2ccccc2)s1)Oc1ccccc1
155,CCCCCCC1(CC(CC)CCCC)c2cc(Br)ccc2-c2cc3c(cc21)C1=C2C(=O)N4C=Cc5cc6c(cc5C4=C2C(=O)N1C=C3)C(CC(CC)CCCC)(CC(CC)CCCC)c1cc(Br)ccc1-6
156,CCCCCCC1(CCCCCC)c2cc(Br)ccc2-c2ccc(C3=C4C(=O)NC(c5ccc6c(c5)C(CCCCCC)(CCCCCC)c5cc(Br)ccc5-6)=C4C(=O)N3)cc21
157,CCCCCCC1(CCCCCC)c2cc(C)sc2-c2sc(-c3sc(-c4nnc(-c5cc(CC(CC)CCCC)c(C)s5)nn4)cc3CC(CC)CCCC)cc21
158,CCCCCCC1(CCCCCC)c2cc(S)ccc2-c2ccc(-c3ccc(C4=C5C(=O)N(CC(CC)CCCC)C(c6ccc(S)s6)=C5C(=O)N4CC(CC)CCCC)s3)cc21
159,CCCCCCCCC(CCCCCC)CN1C(=O)/C(=C2/C(=O)N(CC(CCCCCC)CCCCCCCC)c3cc(-c4cc5cc(C(=O)OC)c6cc(S)sc6c5s4)ccc32)c2ccc(S)cc21
160,CCCCCCCCC(CCCCCC)CN1C(=O)C(c2ccc(C)o2)=c2ccc3c4c(ccc3c21)=C(c1ccc(Br)o1)C(=O)N4CC(CCCCCC)CCCCCCCC
161,CCCCCCCCC(CCCCCC)CN1C(=O)C(c2ccc(C)s2)=c2cc3c(cc21)=C(c1ccc(-c2ccc(C)s2)s1)C(=O)N3CC(CCCCCC)CCCCCCCC
162,CCCCCCCCC(CCCCCC)CN1C(=O)C2=C(c3ccc(-c4cc(CCCCCC)cs4)o3)N(CC(CCCCCC)CCCCCCCC)C(=O)C2=C1c1ccc(-c2cc(CCCCCC)cs2)o1
163,CCCCCCCCC(CCCCCC)CN1C(=O)C2=C(c3ccc(-c4cc5c(S)c(S)c6cc(S)cc7c(S)c(S)c(c4)c5c67)s3)N(CC(CCCCCC)CCCCCCCC)C(=O)C2=C1c1ccc(S)s1
